artefact_name,artefact_type,source_archive,source_path,external_standard_dependency,local_or_external,status,notes
ValueSetLoincMyCore,ValueSet,MY Core IG.zip; MY_Core_Terminology_Extracts.zip,Value set\Lab\ValueSet-loinc-my-core.json; ValueSets/value-set-loinc-my-core.csv,LOINC,mixed,active,Verified against terminology extract.
ValueSetMimsMyCore,ValueSet,MY Core IG.zip,generated\\ValueSet-mims-my-core.json,None,local,active,Legacy JSON only.
ValueSetMinorProcedureMyCore,ValueSet,MY Core IG.zip; MY_Core_Terminology_Extracts.zip,Value set\Non Profile\ValueSet-minor-procedure-my-core.json; ValueSets/value-set-minor-procedure-my-core.csv,None,local,active,Verified against terminology extract.
ValueSetNcdVcDxMyCore,ValueSet,MY Core IG.zip; MY_Core_Terminology_Extracts.zip,Value set\Encounter\ValueSet-ncd-vc-dx-my-core.json; ValueSets/value-set-ncd-vc-dx-my-core.csv,None,local,active,Verified against terminology extract.
ValueSetNutritionistConsultationMyCore,ValueSet,MY Core IG.zip; MY_Core_Terminology_Extracts.zip,Value set\Procedure\ValueSet-nutritionist-consultation-my-core.json; ValueSets/value-set-nutritionist-consultation-my-core.csv,None,local,active,Verified against terminology extract.
ValueSetObservationAnthropometryMyCore,ValueSet,MY Core IG.zip; MY_Core_Terminology_Extracts.zip,Value set\Observation\ValueSet-observation-anthropometry-my-core.json; ValueSets/value-set-observation-anthropometry-my-core.csv,LOINC,mixed,active,Verified against terminology extract.
ValueSetObservationGlucoseMyCore,ValueSet,MY Core IG.zip; MY_Core_Terminology_Extracts.zip,Value set\Observation\ValueSet-observation-glucose-my-core.json; ValueSets/value-set-observation-glucose-my-core.csv,SNOMED CT,mixed,active,Verified against terminology extract.
ValueSetObservationObstetricUsMyCore,ValueSet,MY Core IG.zip; MY_Core_Terminology_Extracts.zip,Value set\Observation\ValueSet-observation-obstetric-us-my-core.json; ValueSets/value-set-observation-obstetric-us-my-core.csv,LOINC,mixed,active,Verified against terminology extract.
ValueSetObservationPanelMyCore,ValueSet,MY Core IG.zip; MY_Core_Terminology_Extracts.zip,Value set\Observation\ValueSet-observation-panel-my-core.json; ValueSets/value-set-observation-panel-my-core.csv,LOINC,mixed,active,Verified against terminology extract.
ValueSetObservationSocialHistoryMyCore,ValueSet,MY Core IG.zip; MY_Core_Terminology_Extracts.zip,Value set\Observation\ValueSet-observation-social-history-my-core.json; ValueSets/value-set-observation-social-history-my-core.csv,SNOMED CT,mixed,active,Verified against terminology extract.
ValueSetObservationVitalSignsMyCore,ValueSet,MY Core IG.zip; MY_Core_Terminology_Extracts.zip,Value set\Observation\ValueSet-observation-vital-signs-my-core.json; ValueSets/value-set-observation-vital-signs-my-core.csv,LOINC,mixed,active,Verified against terminology extract.
ValueSetObservationVSCBPMyCore,ValueSet,MY Core IG.zip; MY_Core_Terminology_Extracts.zip,Value set\Observation\ValueSet-observation-vsc-bp-my-core.json; ValueSets/value-set-observation-vsc-bp-my-core.csv,LOINC,mixed,active,Verified against terminology extract.
ValueSetObservationVSCHRMyCore,ValueSet,MY Core IG.zip; MY_Core_Terminology_Extracts.zip,Value set\Observation\ValueSet-observation-vsc-hr-my-core.json; ValueSets/value-set-observation-vsc-hr-my-core.csv,LOINC,mixed,active,Verified against terminology extract.
ValueSetObservationVSCSO2MyCore,ValueSet,MY Core IG.zip; MY_Core_Terminology_Extracts.zip,Value set\Observation\ValueSet-observation-vsc-s02-my-core.json; ValueSets/value-set-observation-vsc-so2-my-core.csv,LOINC,mixed,active,Verified against terminology extract.
